name,num,descr
Adex Beauty Salon,(519) 432-8487,"Weaves, Braids, Wigs, Bags, Shoes & Beauty Supplies."
Armands Barber Shop,(519) 453-9433,Hair Care.
Back to the Fuchsia,(226) 235-6665,"Antiques, Vintage & Collectables store."
Boulevard Kings Pawn,(519) 679-6770,Buy / Sell / Cash / Loans
Chapmans Pharmacy,(519) 439-8411,Home Care Health Supplies & Health Services.
Curly Girl Home Decore,(226) 700-2118,Unique Art and Decore for your Home & Garden.
ED Hair and Tattoo,(519) 601-8861,Custom Tattoo and Hair Stylists
Elle Reve Salon,(519) 204-7938,Spa and Salon
Fantastic Finds,(519) 433-2111,"Buy, Sell, Trade & Pawn"
Father & Sons Furniture,(519) 432-4900,New & Used Furniture and Appliances.
Fire & Iron Custom Metalworks,(226) 224-4455,"Handmade metalwork for home & garden. Welding, Repair, custom fabrication."
Free Store,(519) 438-8676,"New / Gently used Clothing, Provision of Free Food."
Funky Find,(519) 850-0440,"Teak Furniture, Retro Decoré from The ‘50’s & ‘60’s."
Good As New,(519) 667-1783,Furniture & Collectables.
Illbury + Goose,(519) 601-0884,"Canadian made clothing, apothecary products & Accessories."
In Your Space Yoga Collective,(519) 495-3858,A unique hot yoga experience. Created with a modern eco-urban vibe.
K-laba Hair & Beauty Supplies,(519) 645-8524,"Hair Care Products, Wigs, & Extensions. An electric mix of curated consignment & Vintage finds."
Life of Leisure Surf + Social Club,(519) 494-4778,Live life to the fullest!
London Clay Art Centre,(519) 434-1664,"Teaching & Members Studio, Retail & Resource Centre."
Love Alchemy,(519) 518-9995,Lifestyle Boutique & Organic Hair Studio with natural beauty products.
Manson Tattoo,(519) 281-8968,Free-hand Custom Tattooing & Art Services.
Medsave Pharmacy,(519) 204-4120,Health care first.
McHardy’s Vacuum,(519) 451-6700,London’s Largest Vacuum Sales & Service Depot.
Michael’s Coiffure,(519) 439-9322,Hair Care.
Mona Lisa Beauty Salon,(519) 433-2932,Hair Care.
Mystic Bookshop,(519) 673-5440,Unusual Books. Tarot. Incense. Crystals & Gifts.
Neo Tokyo,(519) 642-7862,Specializing In Japanese Animation & Books.
Old East Exchange,(519) 679-0310,Curated and Gently Used Interior Design
Old East Village Fitness,(226) 224-8533,Affordable. Functional. Fitness. group classes & private training.
​Old East Exchange,(519) 679-0310,Curated and Gently Used Interior Design
Picta Creo,(519) 645-3222,Hand painted & waxed furniture transformation
Room Service Vintage Gallery,(226) 376-5750,Its a curated eclectic collection with mid-century modern pieces.
Russell Hendrix Foodservice Equipment & Supplies,(519) 679-9350,Premiere Foodservice Equipment Specialists.
Shone,(519) 701-1997,"Sell, Buy, Trade & Repair."
Silk Road Furniture,(519) 667-0527,"Used Furniture, Collectibles & Clothing."
Steda Tropical Food,(519) 681-4986,African & West Indian Groceries. Beauty Products. Wholesale & Retail
T&C Mart,(519) 601-8878,"Fresh Produce, Dairy, Meat and Groceries."
The Baker's Dozen,(226) 700-2451,A true collective space for artists and entrepreneurs.
The Been Garden,(226) 980-6869,An eclectic handcrafting goods boutique.
The Bus Stop,nil ,"Makerspace, Bread and Roses (Books-Make-Community)"
The Cat’s Bark,(519) 642-1130,"We sell only human grade dog and cat foods. We also carry homeopathic, herbal, Chinese and whole food supplements."
The Submission Academy,(519) 902-3774,Family friendly marshal arts academy. Brazilian Jiu Jitsu.
Tokyo Style Grooming,(519) 439-9110,Top quality pet grooming.
Tracy’s Treasure Chest,(519) 640-6798,Used Furniture & Household items.
Venus Beauty Enhancements,(519) 641-1711,Spa and Health Services​
Vince’s Barbershop,(519) 432-2109,Barber Shop.
Western Fair District Farmers Market,(519) 438-7203,Open Every Saturday and Sunday
Whistling Dicks Barber Shop,519-432-9498,"New Style, Old School Barber."
Worlds Away,(519) 433-1267,"Magic The Gathering, Comic & Action Figures."
